,index,prediction
0,0,0
1,1,0
2,2,1
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,1
11,11,0
12,12,1
13,13,1
14,14,0
15,15,0
16,16,0
17,17,1
18,18,0
19,19,0
20,20,0
21,21,1
22,22,1
23,23,0
24,24,1
25,25,1
26,26,0
27,27,1
28,28,1
29,29,0
30,30,1
31,31,0
32,32,0
33,33,0
34,34,0
35,35,0
36,36,0
37,37,0
38,38,0
39,39,0
40,40,0
41,41,0
42,42,0
43,43,0
44,44,0
45,45,0
46,46,1
47,47,0
48,48,0
49,49,0
50,50,0
51,51,0
52,52,0
53,53,0
54,54,0
55,55,0
56,56,0
57,57,0
58,58,1
59,59,0
60,60,1
61,61,1
62,62,1
63,63,1
64,64,0
65,65,1
66,66,0
67,67,0
68,68,0
69,69,0
70,70,0
71,71,0
72,72,0
73,73,0
74,74,0
75,75,1
76,76,0
77,77,0
78,78,0
79,79,1
80,80,0
81,81,1
82,82,0
83,83,0
84,84,0
85,85,0
86,86,1
87,87,0
88,88,1
89,89,1
90,90,1
91,91,0
92,92,0
93,93,1
94,94,0
95,95,1
96,96,1
97,97,1
98,98,0
99,99,0
100,100,0
101,101,1
102,102,0
103,103,1
104,104,1
105,105,0
106,106,0
107,107,1
108,108,0
109,109,0
110,110,1
111,111,0
112,112,1
113,113,0
114,114,1
115,115,0
116,116,1
117,117,0
118,118,1
119,119,0
120,120,0
121,121,1
122,122,0
123,123,0
124,124,0
125,125,0
126,126,0
127,127,0
128,128,0
129,129,0
130,130,0
131,131,0
132,132,1
133,133,1
134,134,0
135,135,1
136,136,1
137,137,0
138,138,0
139,139,0
140,140,0
141,141,0
142,142,1
143,143,0
144,144,0
145,145,0
146,146,0
147,147,1
148,148,0
149,149,0
150,150,0
151,151,0
152,152,1
153,153,1
154,154,0
155,155,1
156,156,0
157,157,0
158,158,1
159,159,0
160,160,0
161,161,0
162,162,0
163,163,0
164,164,0
165,165,0
166,166,1
167,167,1
168,168,0
169,169,0
170,170,1
171,171,0
172,172,0
173,173,0
174,174,1
175,175,0
176,176,0
177,177,0
178,178,0
179,179,1
180,180,0
181,181,0
182,182,1
183,183,0
184,184,0
185,185,0
186,186,0
187,187,0
188,188,1
189,189,1
190,190,0
191,191,1
192,192,0
193,193,0
194,194,0
195,195,0
196,196,0
197,197,0
198,198,1
199,199,0
200,200,0
201,201,0
202,202,0
203,203,1
204,204,0
205,205,1
206,206,0
207,207,0
208,208,0
209,209,0
210,210,1
211,211,1
212,212,1
213,213,0
214,214,1
215,215,0
216,216,0
217,217,0
218,218,0
219,219,1
220,220,0
221,221,0
222,222,0
223,223,0
224,224,0
225,225,0
226,226,1
227,227,0
228,228,1
229,229,0
230,230,0
231,231,0
232,232,0
233,233,1
234,234,0
235,235,0
236,236,1
237,237,0
238,238,0
239,239,1
240,240,0
241,241,1
242,242,1
243,243,0
244,244,1
245,245,0
246,246,0
247,247,1
248,248,1
249,249,0
250,250,1
251,251,0
252,252,1
253,253,0
254,254,0
255,255,0
256,256,0
257,257,1
258,258,0
259,259,0
260,260,0
261,261,0
262,262,1
263,263,0
264,264,0
265,265,0
266,266,0
267,267,0
268,268,1
269,269,0
270,270,0
271,271,0
272,272,1
273,273,1
274,274,0
275,275,0
276,276,1
277,277,0
278,278,0
279,279,0
280,280,0
281,281,0
282,282,0
283,283,0
284,284,1
285,285,1
286,286,0
287,287,0
288,288,1
289,289,0
290,290,1
291,291,1
292,292,0
293,293,1
294,294,0
295,295,0
296,296,1
297,297,0
298,298,0
299,299,1
300,300,0
301,301,0
302,302,0
303,303,0
304,304,1
305,305,0
306,306,1
307,307,0
308,308,0
309,309,0
310,310,0
311,311,1
312,312,0
313,313,0
314,314,0
315,315,0
316,316,0
317,317,0
318,318,1
319,319,1
320,320,0
321,321,0
322,322,0
323,323,1
324,324,1
325,325,0
326,326,1
327,327,0
328,328,0
329,329,1
330,330,0
331,331,1
332,332,0
333,333,0
334,334,0
335,335,1
336,336,1
337,337,1
338,338,0
339,339,0
340,340,0
341,341,0
342,342,0
343,343,1
344,344,1
345,345,0
346,346,0
347,347,1
348,348,0
349,349,1
350,350,0
351,351,0
352,352,0
353,353,1
354,354,0
355,355,1
356,356,0
357,357,1
358,358,0
359,359,0
360,360,0
361,361,0
362,362,0
363,363,0
364,364,0
365,365,1
366,366,1
367,367,0
368,368,1
369,369,1
370,370,0
371,371,0
372,372,1
373,373,0
374,374,1
375,375,0
376,376,0
377,377,0
378,378,0
379,379,0
380,380,1
381,381,1
382,382,0
383,383,1
384,384,0
385,385,1
386,386,0
387,387,1
388,388,1
389,389,1
390,390,0
391,391,0
392,392,0
393,393,0
394,394,1
395,395,1
396,396,1
397,397,0
398,398,0
399,399,1
400,400,0
401,401,0
402,402,0
403,403,0
404,404,0
405,405,0
406,406,0
407,407,1
408,408,1
409,409,0
410,410,1
411,411,1
412,412,0
413,413,0
414,414,0
415,415,0
416,416,0
417,417,0
418,418,1
419,419,0
420,420,0
421,421,1
422,422,0
423,423,0
424,424,1
425,425,0
426,426,0
427,427,0
428,428,0
429,429,0
430,430,0
431,431,1
432,432,1
433,433,0
434,434,0
435,435,0
436,436,0
437,437,0
438,438,0
439,439,0
440,440,1
441,441,0
442,442,1
443,443,0
444,444,0
445,445,0
446,446,0
447,447,0
448,448,1
449,449,0
450,450,0
451,451,1
452,452,0
453,453,0
454,454,0
455,455,0
456,456,0
457,457,0
458,458,1
459,459,0
460,460,0
461,461,1
462,462,0
463,463,0
464,464,0
465,465,1
466,466,1
467,467,0
468,468,1
469,469,0
470,470,1
471,471,0
472,472,0
473,473,0
474,474,0
475,475,1
476,476,1
477,477,0
478,478,0
479,479,0
480,480,1
481,481,0
482,482,0
483,483,0
484,484,0
485,485,0
486,486,0
487,487,0
488,488,0
489,489,0
490,490,1
491,491,1
492,492,0
493,493,0
494,494,1
495,495,0
496,496,0
497,497,0
498,498,0
499,499,0
500,500,0
501,501,1
502,502,0
503,503,1
504,504,0
505,505,1
506,506,0
507,507,1
508,508,1
509,509,1
510,510,1
511,511,0
512,512,1
513,513,1
514,514,0
515,515,0
516,516,0
517,517,0
518,518,0
519,519,0
520,520,1
521,521,1
522,522,1
523,523,0
524,524,0
525,525,1
526,526,1
527,527,0
528,528,0
529,529,0
530,530,1
531,531,0
532,532,0
533,533,0
534,534,0
535,535,1
536,536,0
537,537,0
538,538,0
539,539,0
540,540,0
541,541,0
542,542,0
543,543,0
544,544,1
545,545,0
546,546,0
547,547,0
548,548,0
549,549,0
550,550,0
551,551,1
552,552,1
553,553,0
554,554,0
555,555,1
556,556,1
557,557,1
558,558,0
559,559,0
560,560,0
561,561,0
562,562,1
563,563,0
564,564,0
565,565,0
566,566,0
567,567,0
568,568,1
569,569,0
570,570,0
571,571,0
572,572,0
573,573,0
574,574,1
575,575,0
576,576,1
577,577,0
578,578,0
579,579,0
580,580,0
581,581,1
582,582,1
583,583,1
584,584,1
585,585,1
586,586,1
587,587,0
588,588,0
589,589,0
590,590,1
591,591,0
592,592,0
593,593,1
594,594,1
595,595,0
596,596,0
597,597,1
598,598,0
599,599,0
600,600,0
601,601,1
602,602,0
603,603,0
604,604,0
605,605,0
606,606,0
607,607,0
608,608,0
609,609,1
610,610,0
611,611,1
612,612,1
613,613,0
614,614,0
615,615,0
616,616,0
617,617,0
618,618,0
619,619,1
620,620,1
621,621,0
622,622,0
623,623,0
624,624,0
625,625,0
626,626,0
627,627,0
628,628,1
629,629,0
630,630,1
631,631,1
632,632,0
633,633,0
634,634,0
635,635,0
636,636,1
637,637,1
638,638,1
